"city","latitude","stAddress1","stationName","landMark","lastCommunicationTime","id","availableDocks","totalDocks","altitude","stAddress2","longitude","statusValue","testStation","location","postalCode","statusKey","availableBikes"
"",40.7284186,"St Marks Pl & 2 Ave","St Marks Pl & 2 Ave","","2015-12-11 11:53:53 AM",236,36,39,"","",-73.98713956,"In Service",False,"","",1,3
"",40.73047309,"E 11 St & 2 Ave","E 11 St & 2 Ave","","2015-12-11 11:54:41 AM",237,37,39,"","",-73.98672378,"In Service",False,"","",1,1
"",40.7361967,"Bank St & Washington St","Bank St & Washington St","","2015-12-11 11:54:03 AM",238,31,31,"","",-74.00859207,"In Service",False,"","",1,0
"",40.69196566,"Willoughby St & Fleet St","Willoughby St & Fleet St","","2015-12-11 11:54:00 AM",239,11,31,"","",-73.9813018,"In Service",False,"","",1,20
"",40.68981035,"DeKalb Ave & S Portland Ave","DeKalb Ave & S Portland Ave","","2015-12-11 11:50:55 AM",241,23,23,"","",-73.97493121,"In Service",False,"","",1,0
"",40.697787,"Carlton Ave & Flushing Ave","Carlton Ave & Flushing Ave","","2015-12-11 11:54:31 AM",242,7,23,"","",-73.973736,"In Service",False,"","",1,13
"",40.688226,"Fulton St & Rockwell Pl","Fulton St & Rockwell Pl","","2015-12-11 11:51:03 AM",243,12,31,"","",-73.979382,"In Service",False,"","",1,19
"",40.69196035,"Willoughby Ave & Hall St","Willoughby Ave & Hall St","","2015-12-11 11:51:44 AM",244,30,31,"","",-73.96536851,"In Service",False,"","",1,0
"",40.69327018,"Myrtle Ave & St Edwards St","Myrtle Ave & St Edwards St","","2015-12-11 11:51:59 AM",245,23,23,"","",-73.97703874,"In Service",False,"","",1,0
"",40.73535398,"Perry St & Bleecker St","Perry St & Bleecker St","","2015-12-11 11:53:02 AM",247,20,20,"","",-74.00483091,"In Service",False,"","",1,0
"",40.72185379,"Laight St & Hudson St","Laight St & Hudson St","","2015-12-11 11:51:58 AM",248,1,23,"","",-74.00771779,"In Service",False,"","",1,22
"",40.71870987,"Harrison St & Hudson St","Harrison St & Hudson St","","2015-12-11 11:51:50 AM",249,0,27,"","",-74.0090009,"In Service",False,"","",1,27
"",40.72456089,"Lafayette St & Jersey St","Lafayette St & Jersey St","","2015-12-11 11:52:01 AM",250,4,40,"","",-73.99565293,"In Service",False,"","",1,31
"",40.72317958,"Mott St & Prince St","Mott St & Prince St","","2015-12-11 11:51:50 AM",251,3,27,"","",-73.99480012,"In Service",False,"","",1,24
"",40.73226398,"MacDougal St & Washington Sq","MacDougal St & Washington Sq","","2015-12-11 11:53:04 AM",252,22,33,"","",-73.99852205,"In Service",False,"","",1,10
