Borough,Year,FIPS County Code,Ward Code,Ward Name,Population
Jersey City,,17,A,Greenville,39114
Jersey City,,17,B,West Side,41794
Jersey City,,17,C,Journal Square,38944
Jersey City,,17,D,The Heights,43122
Jersey City,,17,E,Downtown,43919
Jersey City,,17,F,Bergen/Lafayette,33162
