id,stationName,latitude,longitude,Neighbourhood,Borough
443,Bedford Ave & S 9 St,40.70853074,-73.96408963,BK73,Brooklyn
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,BK73,Brooklyn
471,Grand St & Havemeyer St,40.71286844,-73.95698119,BK73,Brooklyn
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,BK73,Brooklyn
532,S 5 Pl & S 4 St,40.710451,-73.960876,BK73,Brooklyn
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,BK73,Brooklyn
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,BK73,Brooklyn
3077,Stagg St & Union Ave,40.70877084,-73.95095259,BK73,Brooklyn
3078,Broadway & Roebling St,40.70925562,-73.95982218,BK73,Brooklyn
3080,S 4 St & Rodney St,40.70934,-73.95608,BK73,Brooklyn
3082,Hope St & Union Ave,40.71167351,-73.95141312,BK73,Brooklyn
3085,Roebling St & N 4 St,40.71469,-73.95739,BK73,Brooklyn
3088,Union Ave & Jackson St,40.7160751,-73.952029,BK73,Brooklyn
3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,BK73,Brooklyn
3091,Frost St & Meeker St,40.71764,-73.94882,BK73,Brooklyn
3092,Berry St & N 8 St,40.7190095,-73.95852515,BK73,Brooklyn
3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,BK73,Brooklyn
3096,Union Ave & N 12 St,40.71924,-73.95242,BK73,Brooklyn
3098,Leonard St & Bayard St,40.71928,-73.94861,BK73,Brooklyn
3099,Leonard St & Manhattan Ave,40.7215224,-73.94898266,BK73,Brooklyn
3100,Lorimer St & Bayard St,40.7204,-73.95016,BK73,Brooklyn
3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,BK73,Brooklyn
3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154,BK73,Brooklyn
3103,N 11 St & Wythe Ave,40.72153267,-73.95782357,BK73,Brooklyn
3104,Kent Ave & N 7 St,40.72057658,-73.96150225,BK73,Brooklyn
3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,BK73,Brooklyn
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,BK75,Brooklyn
344,Monroe St & Bedford Ave,40.6851443,-73.95380904,BK75,Brooklyn
372,Franklin Ave & Myrtle Ave,40.694528,-73.958089,BK75,Brooklyn
373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,BK75,Brooklyn
409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,BK75,Brooklyn
437,Macon St & Nostrand Ave,40.68098339,-73.95004798,BK75,Brooklyn
3047,Halsey St & Tompkins Ave,40.6823687,-73.944118,BK75,Brooklyn
3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,BK75,Brooklyn
3051,Gates Ave & Marcy Ave,40.68668,-73.94733,BK75,Brooklyn
